Area,Title,Description,Priority,Status,Assigned To,Change,QE comments,Type,Target Date,Created by,Created on,Canny 2
Sourcing Request,SR permissions,Purchasing managers should have the permissions to see sales orders on SR,P0,On Production,Andrey Kuznetcov,,,Purchasing,,Phani Yedidi,"Apr 23, 2026",false
Sourcing Request,,Purchasing managers should be able to see the price on SR - lets please double check. This was reported by Tran,P0,On Production,Andrey Kuznetcov,BE,,Purchasing,,Phani Yedidi,"Apr 23, 2026",false
Sourcing Request,SO list viww - Bulk update SR status,"Bulk assignment of Request for Purchase on SO — if SR exists update status, if not create a new one",P2,To be Defined,Phani Yedidi,,,Purchasing,,Phani Yedidi,"Mar 28, 2026",false
Sourcing Request,,Add tab on SR to see linked Purchase Orders,P1,On Production,Arvind Dhakar,,,Purchasing,,Phani Yedidi,"Apr 6, 2026",false
Sourcing Request,,Remove permissions to RFQ and Orders tab for Junior and Ex-Buyer roles,P1,On Production,Andrey Kuznetcov,,,Purchasing,,Phani Yedidi,"Apr 6, 2026",false
Sourcing Request,,Implement contact/email search in offer supplier lookup and globally across the application,P1,To be Defined,"Arvind Dhakar,Andrey Kuznetcov","BE,UI",,Purchasing,"May 26, 2026",Phani Yedidi,"Apr 6, 2026",false
Sourcing Request,SR / Allocation Sync Bug,Sourcing Requests are not getting updated even when a PO is created and SO connection is established — suspected cause is that auto-allocation in the connected flow is not picking up the SR,P1,Dev Ready,Pranab Dutta,BE,,Purchasing,"May 21, 2026",Phani Yedidi,"May 19, 2026",false
Sourcing Request,,SO line is not appearing on the allocation view for some records.,P0,Dev Ready,Pranab Dutta,BE,,Purchasing,"May 21, 2026",Phani Yedidi,"May 19, 2026",false
Sourcing Request,,Implement auto-close logic for tasks when parent entity is closed,P0,Ready for Test,Aditya Jain,,there is no way to close SR,Purchasing,,Phani Yedidi,"Apr 6, 2026",false
Sourcing Request,Associated offer to SR,"There is a challenge where purchasing team wants to associate an offer already in the system with a SR. Could be because they could not create offer in Apex so they created in xCRM or could be an existing offer from other source. To accommodate this, do the following. 



1. Add an option in SR fab called “Attach an offer”.
2. This should allow a user to see all offers matching the MPN or allow user to search for an offer with id
3. They can attach it. 
4. On BE this should associate the offer with the SR. We need to make sure an offer can be associated with multiple SRs. 
5. In offer tab of SR, show the offer type. ",P0,On Production,"Aditya Jain,Arvind Dhakar","BE,UI","#6: not clear
what happens when user attach open market offer to SR",Purchasing,"Apr 15, 2026",Phani Yedidi,"Apr 6, 2026",false
Sourcing Request,"Supplier accounts ",Approved for purchase flag should be honoured when showing the list of suppliers on request for offer modal,P0,In progress,Arvind Dhakar,"BE,UI",,Purchasing,"May 21, 2026",Phani Yedidi,"Apr 23, 2026",false
Sourcing Request,SR list view,"Now that SR is split into tabs, consider adding an 'All' tab so users can see everything together if needed.",P0,On Production,Arvind Dhakar,,,Purchasing,,Phani Yedidi,"Apr 13, 2026",false
Sourcing Request,,On hover team member details (inside the drop down),P1,In progress,Tejaswini Allagadda,"BE,UI",,Purchasing,"May 21, 2026",Phani Yedidi,"Mar 26, 2026",false
Sourcing Request,"SR list view ","add tags to the list view of SRs? As they need the ability to hold, we are going to suggest them to add hold tag",P0,Ready for Test,Arvind Dhakar,UI,,Purchasing,,Phani Yedidi,"May 18, 2026",false
Sourcing Request,SR list view,"Bulk Send Offer Request from SR List View (Missing Feature) — No option to select multiple SRs and send a single offer request to a supplier. Must go inside each SR individually.



Bulk offer request action to be supported from SR list view when the supplier is the same. If the supplier is not existing/or different we wont let them bulk create. We will create multiple individual offer requests for all the MPN’s selected. 1 per each MPN",P0,Ready for Test,"Arvind Dhakar,Aditya Jain",UI,,Purchasing,"May 20, 2026",Phani Yedidi,"Apr 22, 2026",false
Sourcing Request,,,,,Aditya Jain,,,Purchasing,,Phani Yedidi,"May 21, 2026",false
Sourcing Request,,"On the SR on SO when it is added directly can we have a check from UI and throw a warning to indicate that without the approvals the SR can't be submitted (purchase requested) ?

Block the user to create SR from SO if approvals are not there 
MEssage :  “Please have all the approvals secured to raise a Sourcing Request”",P0,On Production,Arvind Dhakar,,,Purchasing,,Phani Yedidi,"Apr 22, 2026",false
Sourcing Request,SR list view,Group Mailing / Marketing Tag Outreach (Missing Feature) — XCRM allowed blasting an offer request to a predefined supplier tag list from the SR list view. Not available in Apex.,P2,To be Defined,Phani Yedidi,,,Purchasing,,Phani Yedidi,"Apr 22, 2026",false
Sourcing Request,"SR details ","Ensure sourcing request “created by” and team data are populated



* Populate created by correctly.
* Ensure buyer/team assignment is visible and clearly rendered.
* Tighten the spacing and display style for team/user chips or stacked values so it does not look like fields are blank.",P0,On Production,Arvind Dhakar,UI,,Purchasing,,Phani Yedidi,"Apr 9, 2026",false
Sourcing Request,New Notifications,"1. Create an Email Notification template for 'Offers made on our Sourcing Requests'
2. Create an Email Notification template to notify the ICP/Sales person when a BoM is uploaded.",P1,On Production,Nikhil Kumar Singh,BE,,Purchasing,,Dipak Majhi,"Apr 15, 2026",false
Sourcing Request,Team data groups for SR,"There is an interesting situation for purchasing where some teams are global and work on SRs from various regions. As of now the US folks are not able to see SRs from Germany etc. 

To solve this we can do the following

1. Assign each team a data group
2. When team is assigned to SR the team data group gets added to the SR similar to what we do for user.
3. Do a one time migration of existing SRs. (data team)",P0,On Production,"Srinivas Sanka,Nagababu Guddati,Sandeep Thatikonda","BE,Data",,"Purchasing,Data",,Sai Nagboth,"Apr 23, 2026",false
Sourcing Request,Attach exiting PO to SR,"Implement a feature to attach an existing PO to an SR. This should primarily be treated associated the SR to PO and to SO like what we do for create flow but just that it is an existing PO. All the allocation flow needs to be run with this assocaition. 

It will address multiple use cases e.g., 

1. Allowing users to buy for multiple SRs 
2. Allow a PO created in xcrm to attach to SR
3. Allow old stock and PO to be associated with SR.



This should be in the FAB action of “Attach PO”. 



The current “Attach PO” should be changed to

1. “Add line to Purchase Order” (or Add line to PO)
2. In the Create new PO action, we can also add an option to Add line to PO similar to that of SR creation",P0,On Production,"Arvind Dhakar,Sheikh Habib","BE,UI",,Purchasing,"Apr 20, 2026",Sai Nagboth,"Apr 16, 2026",false
Canny Followups,Canny,"https://chip1.canny.io/admin/feedback/apex-1-feedback/p/qc-inspected-not-showing-up-in-xcrm?status=open

",P0,Dev Ready,"Pranab Dutta,Nikhil Kumar Singh","Sync,Data",,"Sales,Purchasing",,Om Sreenivasan,"Mar 12, 2026",false
SO sync issues,SO manual allocation sync,SO manual allocation sync in both directions,P0,On Production,Aditya Jain,Sync,"[QE Comments 11/05] : OB allocation sync happened with delay but allocation counts are not correct in the boxes

https://crm.stage.chip1.info/sales/orders/6a01e1badddc0b7fe17690aa/line/6a01e1badddc0b7fe17690a9



IB sync is not working

https://crm.stage.chip1.info/sales/orders/6a01e6492c49d94dbd73c731/line/6a01e6482c49d94dbd73c730

correlationId : eb77d52c-4d44-11f1-b585-2d1c5cbdc529","Sales,Purchasing",,Pranab Dutta,"May 4, 2026",false
SO sync issues,Historic allocation data sync,The existing allocation data in the xcrm should be moved to Apex,P0,In progress,"Nagababu Guddati,Srinivas Sanka",Sync,"[Pranab, 19/05] - First pass is done, need to review again.","Sales,Purchasing,Data","May 22, 2026",Pranab Dutta,"May 4, 2026",false
Invoice,Invoice improvements and sync,"* When an outbound shipment is created, an invoice should be generated in Apex. (BE Tejaswini Allagadda )

Request Input: misc cost, freight cost, qty, shipment_id, total_cost shall be calculated (unit_cost * qty)

* The outbound invoice sync should be developed (ConnectTejaswini Allagadda )



Outline the summary of all invoice changes in this ticket. 

https://app.clickup.com/t/8651091/CHP-5607",P0,On Production,"Tejaswini Allagadda,Srinidhi Gundimi","Sync,UI,BE",,Purchasing,"Apr 24, 2026",Pranab Dutta,"Apr 19, 2026",false
Invoice,,,,,,,,Purchasing,,Phani Yedidi,"Apr 20, 2026",false
SR Sync,Duplicate SRs being created,"1. For some reason there are cases where duplicates SRs are getting created. Guessing it is due to sync. Here are examples
  1. RFQ Link. Look at SRs ending with 654 and 653✅
2. Also on Inbound salesperson seems to be not getting mapped. Look at the above 2.",P0,On Production,"Aditya Jain,Abhinay Sharma",Sync,,Purchasing,"Apr 22, 2026",Sai Nagboth,"Apr 21, 2026",false
PO PDF issues,Attributes not in PDF generated:,"PO PDF issues:

Attributes not in PDF generated:

1. Package
2. ROHS
3. Product
4. Description
5. ECCN US
6. ECCN Local
7. US DUAL: No , (Should be yes)
8. LOCAL DUAL: No (should be yes)
9. EXPECTED DELIVERY
10. TTL and sub total is not including the bank charge, freight charges and misc charges.

PO link : https://crm.stage.chip1.info/purchasing/purchase-orders/69f8730cd15f0f05b6e40a54/line/69f8730cd15f0…

CC:

Sandeep Thatikonda, Abhinay Sharma",P1,On Production,Phani Yedidi,Other,,Purchasing,"May 21, 2026",Deepti Vaidyula,"May 4, 2026",false
